travail 1314733,NOUN,HAS_EXAMPLE
premier 1180392,ADJECTIVE,HAS_EXAMPLE
souvent 1129704,ADVERB,HAS_EXAMPLE
exemple 958552,NOUN
nouveau 913003,ADJECTIVE
famille 926431,NOUN
manière 866176,ADVERB,HAS_EXAMPLE
comment 840682,ADVERB,HAS_EXAMPLE
surtout 832001,ADVERB
presque 796736,ADVERB
dernier 762236,ADJECTIVE,HAS_EXAMPLE
chambre 756268,NOUN
société 696666,NOUN
trouver 692549,VERB,HAS_EXAMPLE
pouvoir 664358,NOUN,HAS_EXAMPLE
sourire 654946,NOUN
parfois 645825,ADVERB
rapport 641893,NOUN,HAS_EXAMPLE
article 623693,NOUN
laisser 586073,VERB,HAS_EXAMPLE
travers 584634,NOUN
système 556221,NOUN,HAS_EXAMPLE
service 538817,NOUN,HAS_EXAMPLE
réalité 528832,NOUN,HAS_EXAMPLE
ensuite 517051,ADVERB
silence 512599,NOUN
lumière 509332,NOUN
demande 505494,NOUN,HAS_EXAMPLE
voiture 493340,NOUN,HAS_EXAMPLE
compris 470276,ADJECTIVE,HAS_EXAMPLE
instant 463700,ADJECTIVE
intérêt 465944,NOUN,HAS_EXAMPLE
journée 448249,NOUN
certain 441833,ADJECTIVE,HAS_EXAMPLE
réponse 442501,NOUN,HAS_EXAMPLE
liberté 436445,NOUN,HAS_EXAMPLE
affaire 436507,NOUN,HAS_EXAMPLE
origine 410853,NOUN,HAS_EXAMPLE
sociale 418666,ADJECTIVE
entendu 409339,ADJECTIVE
matière 410862,NOUN,HAS_EXAMPLE
grandes 408193,ADJECTIVE
passage 388518,NOUN
plupart 388042,NOUN,HAS_EXAMPLE
endroit 381928,NOUN,HAS_EXAMPLE
qualité 378571,NOUN,HAS_EXAMPLE
cuisine 367340,NOUN,HAS_EXAMPLE
période 365767,NOUN
énergie 353963,NOUN,HAS_EXAMPLE
mémoire 344239,NOUN
volonté 340686,NOUN,HAS_EXAMPLE
demandé 337371,ADJECTIVE
musique 336928,NOUN
seconde 335589,ADJECTIVE
justice 336580,NOUN
village 335731,NOUN
moindre 328274,ADJECTIVE,HAS_EXAMPLE
juillet 328714,NOUN
général 326331,ADJECTIVE
bonheur 328031,NOUN,HAS_EXAMPLE
propres 325093,ADJECTIVE
semaine 323555,NOUN,HAS_EXAMPLE
mariage 323197,NOUN,HAS_EXAMPLE
domaine 322667,NOUN,HAS_EXAMPLE
ouvrage 316401,NOUN
culture 315321,NOUN
petites 315205,ADJECTIVE
douleur 311028,NOUN
présent 309414,ADJECTIVE,HAS_EXAMPLE
données 305514,NOUN
absence 306973,NOUN
bientôt 299350,ADVERB
devenir 299127,NOUN
heureux 292510,ADJECTIVE
contrat 289894,NOUN
environ 285494,ADVERB,HAS_EXAMPLE
janvier 283052,NOUN,HAS_EXAMPLE
montrer 283934,VERB,HAS_EXAMPLE
plaisir 276363,NOUN,HAS_EXAMPLE
capable 275063,ADJECTIVE
partout 274976,ADVERB,HAS_EXAMPLE
humaine 272204,ADJECTIVE
mauvais 270603,ADJECTIVE,HAS_EXAMPLE
octobre 272657,NOUN
honneur 269672,NOUN
mission 264098,NOUN
vieille 264886,ADJECTIVE
changer 262396,VERB
couleur 256267,NOUN
contact 255666,NOUN,HAS_EXAMPLE
obtenir 259498,VERB
courant 253651,ADJECTIVE
lecture 249521,NOUN,HAS_EXAMPLE
terrain 248540,NOUN,HAS_EXAMPLE
fenêtre 250761,NOUN
revenir 246951,VERB,HAS_EXAMPLE
gestion 244664,NOUN
médecin 243361,NOUN
quitter 242510,VERB
tableau 238815,NOUN
respect 238214,NOUN
souffle 234756,NOUN
février 230602,NOUN
conseil 225523,NOUN
vouloir 224520,NOUN
théâtre 225196,NOUN
analyse 219536,NOUN
langage 217389,NOUN,HAS_EXAMPLE
oublier 216349,VERB,HAS_EXAMPLE
maladie 219746,NOUN
animaux 216233,ADJECTIVE
étrange 212930,ADJECTIVE
science 212635,NOUN
château 212367,NOUN
chaleur 211274,NOUN,HAS_EXAMPLE
arrière 210265,ADJECTIVE
message 209006,NOUN
sociaux 206846,ADJECTIVE
théorie 208310,NOUN
blanche 205676,ADJECTIVE,HAS_EXAMPLE
conduit 205665,NOUN
compter 203466,VERB,HAS_EXAMPLE
cerveau 204901,NOUN
moderne 200585,ADJECTIVE
sommeil 198883,NOUN
immense 197424,ADJECTIVE
méthode 197879,NOUN,HAS_EXAMPLE
arrivée 192676,NOUN,HAS_EXAMPLE
surface 191125,NOUN
anciens 188475,ADJECTIVE
recours 186565,NOUN
rentrer 185934,VERB,HAS_EXAMPLE
journal 183970,ADJECTIVE
courage 183697,NOUN,HAS_EXAMPLE
vitesse 183664,NOUN,HAS_EXAMPLE
produit 181339,NOUN
passant 181115,ADJECTIVE
dossier 180964,ADJECTIVE
hauteur 181598,NOUN,HAS_EXAMPLE
défense 180232,NOUN,HAS_EXAMPLE
combien 175547,ADVERB,HAS_EXAMPLE
passion 175292,NOUN,HAS_EXAMPLE
appeler 174253,VERB,HAS_EXAMPLE
docteur 174523,NOUN
essayer 172291,VERB,HAS_EXAMPLE,INF
oreille 170890,NOUN
tourner 170468,VERB,HAS_EXAMPLE
disparu 170456,ADJECTIVE
prenant 169639,ADJECTIVE
profond 170392,ADJECTIVE,HAS_EXAMPLE
contenu 169386,NOUN
opinion 169060,NOUN
longues 168754,ADJECTIVE
édition 168376,NOUN,HAS_EXAMPLE
secteur 166971,NOUN,HAS_EXAMPLE
élément 165693,NOUN
assurer 164311,VERB,HAS_EXAMPLE
échange 164562,NOUN
portant 163046,ADJECTIVE
accueil 161139,NOUN
entière 161513,ADJECTIVE
soutien 160992,NOUN
célèbre 158881,ADJECTIVE
univers 158075,NOUN
émotion 156202,NOUN
fortune 152475,NOUN,HAS_EXAMPLE
échelle 153461,NOUN
victime 152834,NOUN
couloir 150017,NOUN
choisir 148201,VERB,HAS_EXAMPLE
enfance 147721,NOUN
naturel 147930,ADJECTIVE
toucher 145408,NOUN
royaume 144729,NOUN
suivant 143178,ADJECTIVE
